,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/06/01,"6,730,117","872,404,015",129.30,130.05,129.00,129.15,-0.65,"8,809"
1,111/06/02,"4,721,923","604,071,385",128.45,128.45,127.60,127.80,-1.35,"7,275"
2,111/06/06,"4,292,361","550,968,083",128.25,129.00,127.45,128.70,+0.90,"8,948"
3,111/06/07,"5,160,242","656,817,533",127.95,127.95,126.85,127.40,-1.30,"9,097"
4,111/06/08,"4,110,313","529,293,647",128.50,129.10,128.15,128.80,+1.40,"4,841"
5,111/06/09,"2,056,798","263,676,687",128.20,128.50,127.65,128.40,-0.40,"3,858"
6,111/06/10,"4,616,549","585,983,475",126.80,127.40,126.40,127.10,-1.30,"10,027"
7,111/06/13,"18,437,079","2,280,313,744",124.10,124.25,123.45,123.55,-3.55,"32,400"
8,111/06/14,"12,474,631","1,529,735,542",122.60,123.55,122.10,123.35,-0.20,"17,066"
9,111/06/15,"9,373,128","1,153,315,986",123.00,123.60,122.65,122.75,-0.60,"15,559"
10,111/06/16,"13,116,110","1,620,183,258",124.10,125.00,122.25,122.50,-0.25,"14,401"
11,111/06/17,"21,263,720","2,569,840,589",121.00,121.50,120.40,120.85,-1.65,"35,146"
12,111/06/20,"11,621,643","1,395,030,566",120.90,120.95,119.50,119.75,-1.10,"23,697"
13,111/06/21,"6,691,755","812,035,105",120.95,122.20,120.35,122.20,+2.45,"8,127"
14,111/06/22,"16,172,586","1,939,003,203",121.70,121.70,119.35,119.50,-2.70,"24,790"
15,111/06/23,"18,053,581","2,134,106,169",119.80,119.80,117.25,117.90,-1.60,"28,068"
16,111/06/24,"11,166,572","1,324,805,066",118.65,119.30,117.95,118.15,+0.25,"10,504"
17,111/06/27,"16,926,661","2,049,732,101",119.80,121.45,119.80,120.95,+2.80,"17,198"
18,111/06/28,"11,140,021","1,333,751,369",120.80,120.80,119.25,119.80,-1.15,"13,216"
19,111/06/29,"6,670,681","793,045,377",118.70,119.55,118.50,118.80,-1.00,"10,563"
20,111/06/30,"22,064,782","2,563,829,835",117.70,117.80,115.50,115.80,-3.00,"36,330"
21,111/07/01,"36,878,756","4,168,809,309",115.65,115.65,111.20,111.55,-4.25,"51,585"
22,111/07/04,"27,456,531","3,044,859,233",111.25,112.20,110.00,110.45,-1.10,"28,717"
23,111/07/05,"17,050,908","1,887,614,040",112.55,112.95,109.00,111.00,+0.55,"21,122"
24,111/07/06,"16,720,163","1,831,687,490",111.00,111.05,108.45,108.85,-2.15,"28,951"
25,111/07/07,"13,797,274","1,529,508,284",109.45,112.15,108.55,112.10,+3.25,"13,307"
26,111/07/08,"10,632,316","1,204,020,139",113.30,113.90,112.30,113.25,+1.15,"13,149"
27,111/07/11,"8,031,808","904,913,578",113.65,113.70,111.85,112.25,-1.00,"12,407"
28,111/07/12,"12,036,545","1,321,731,606",110.95,110.95,109.15,109.55,-2.70,"20,560"
29,111/07/13,"25,339,925","2,868,407,778",113.00,113.65,112.60,113.45,+3.90,"18,017"
30,111/07/14,"15,117,665","1,713,783,782",112.70,114.25,111.80,114.00,+0.55,"12,765"
31,111/07/15,"19,084,676","2,192,351,516",114.60,115.65,113.75,115.50,+1.50,"16,864"
32,111/07/18,"22,677,308","2,593,194,353",114.65,114.85,113.95,114.20,X0.00,"21,124"
33,111/07/19,"13,479,392","1,540,004,175",113.95,114.65,113.60,114.30,+0.10,"13,416"
34,111/07/20,"17,257,016","1,993,667,626",115.85,116.20,114.70,115.05,+0.75,"15,086"
35,111/07/21,"9,016,500","1,043,315,930",115.40,116.35,115.00,116.35,+1.30,"8,960"
36,111/07/22,"15,904,768","1,855,616,035",116.60,117.20,116.30,116.80,+0.45,"13,658"
37,111/07/25,"10,845,215","1,264,021,428",116.30,116.95,116.00,116.70,-0.10,"13,409"
38,111/07/26,"13,077,161","1,513,988,792",116.60,116.60,115.30,115.65,-1.05,"16,321"
39,111/07/27,"8,102,634","939,120,906",115.50,116.70,115.15,116.70,+1.05,"6,945"
40,111/07/28,"8,557,891","1,004,795,134",117.85,117.95,116.90,116.90,+0.20,"8,632"
41,111/07/29,"8,291,615","979,364,354",118.15,118.50,117.65,118.00,+1.10,"8,204"
42,111/08/01,"9,841,470","1,157,739,155",118.10,118.10,117.20,117.65,-0.35,"8,720"
43,111/08/02,"18,600,451","2,149,115,164",116.55,116.55,115.10,115.55,-2.10,"22,146"
44,111/08/03,"8,100,057","939,263,431",115.65,116.25,115.50,116.25,+0.70,"7,600"
45,111/08/04,"7,108,342","826,140,065",116.35,116.80,115.20,116.55,+0.30,"7,988"
46,111/08/05,"9,625,538","1,143,739,838",118.00,119.50,117.90,119.50,+2.95,"10,809"
47,111/08/08,"8,966,011","1,066,313,383",119.00,119.25,118.30,119.25,-0.25,"10,279"
48,111/08/09,"8,186,879","971,998,418",118.40,119.50,118.00,119.15,-0.10,"9,920"
49,111/08/10,"7,796,649","919,415,561",118.00,118.20,117.50,117.90,-1.25,"13,624"
50,111/08/11,"10,957,384","1,314,562,900",119.80,120.45,119.60,120.05,+2.15,"8,947"
51,111/08/12,"8,598,361","1,038,027,809",120.55,121.00,120.30,120.80,+0.75,"7,656"
52,111/08/15,"9,837,499","1,198,033,224",121.45,122.10,121.25,121.90,+1.10,"10,575"
53,111/08/16,"10,114,278","1,235,256,112",122.00,122.30,121.90,122.10,+0.20,"10,769"
54,111/08/17,"14,115,407","1,723,131,119",122.10,122.30,121.80,122.15,+0.05,"14,681"
55,111/08/18,"5,637,817","683,651,223",121.40,121.45,120.95,121.35,-0.80,"9,013"
56,111/08/19,"4,315,583","523,948,759",121.25,122.00,120.90,121.55,+0.20,"7,401"
57,111/08/22,"8,972,758","1,076,431,037",120.00,120.25,119.70,119.80,-1.75,"19,855"
58,111/08/23,"11,095,739","1,314,798,887",118.55,119.00,118.20,118.20,-1.60,"18,728"
59,111/08/24,"7,558,746","892,619,974",118.80,118.95,117.65,117.90,-0.30,"12,385"
60,111/08/25,"5,143,118","611,992,350",118.50,119.45,118.45,119.00,+1.10,"6,976"
61,111/08/26,"10,173,674","1,219,207,855",119.85,120.10,119.45,119.60,+0.60,"7,601"
62,111/08/29,"17,248,914","2,007,953,600",116.25,116.95,116.00,116.55,-3.05,"31,024"
63,111/08/30,"12,722,112","1,482,741,825",116.55,117.20,116.20,116.75,+0.20,"14,210"
64,111/08/31,"7,324,798","854,472,563",115.95,117.60,115.80,117.60,+0.85,"8,421"
